t,S,I,R,C,beta,scen
217,0.370339,0.015398,0.614263,0.629561,0.231049,3
218,0.369043,0.0149413,0.616015,0.630857,0.231049,3
219,0.367791,0.0144939,0.617716,0.632109,0.231049,3
220,0.36658,0.0140559,0.619365,0.63332,0.231049,3
221,0.365409,0.0136273,0.620964,0.634491,0.231049,3
222,0.364278,0.0132083,0.622514,0.635622,0.231049,3
223,0.363185,0.012799,0.624016,0.636715,0.231049,3
224,0.36213,0.0123992,0.625471,0.63777,0.231049,3
225,0.36111,0.012009,0.626881,0.63879,0.231049,3
226,0.360125,0.0116284,0.628246,0.639775,0.231049,3
227,0.359175,0.0112574,0.629568,0.640725,0.231049,3
228,0.358257,0.0108958,0.630848,0.641643,0.231049,3
229,0.35737,0.0105437,0.632086,0.64253,0.231049,3
230,0.356515,0.0102009,0.633284,0.643385,0.231049,3
231,0.35569,0.00986729,0.634443,0.64421,0.231049,3
232,0.354893,0.00954283,0.635564,0.645007,0.231049,3
233,0.354124,0.00922737,0.636648,0.645776,0.231049,3
234,0.353383,0.00892078,0.637696,0.646517,0.231049,3
235,0.352667,0.00862292,0.63871,0.647233,0.231049,3
236,0.351977,0.00833366,0.639689,0.647923,0.231049,3
237,0.351312,0.00805284,0.640636,0.648588,0.231049,3
238,0.35067,0.00778031,0.64155,0.64923,0.231049,3
239,0.350051,0.0075159,0.642434,0.649849,0.231049,3
240,0.349454,0.00725947,0.643287,0.650446,0.231049,3
241,0.348878,0.00701083,0.644111,0.651022,0.231049,3
242,0.348323,0.00676982,0.644907,0.651577,0.231049,3
243,0.347788,0.00653628,0.645676,0.652112,0.231049,3
244,0.347272,0.00631002,0.646418,0.652628,0.231049,3
245,0.346775,0.00609089,0.647134,0.653125,0.231049,3
246,0.346296,0.0058787,0.647825,0.653604,0.231049,3
247,0.345834,0.00567329,0.648492,0.654066,0.231049,3
248,0.345389,0.00547448,0.649136,0.654511,0.231049,3
249,0.34496,0.00528211,0.649757,0.65494,0.231049,3
250,0.344547,0.005096,0.650357,0.655353,0.231049,3
251,0.344149,0.00491598,0.650935,0.655751,0.231049,3
252,0.343765,0.0047419,0.651493,0.656135,0.231049,3
253,0.343396,0.00457358,0.652031,0.656504,0.231049,3
254,0.343039,0.00441087,0.65255,0.656861,0.231049,3
255,0.342696,0.00425361,0.65305,0.657204,0.231049,3
256,0.342366,0.00410163,0.653533,0.657534,0.231049,3
257,0.342047,0.00395478,0.653998,0.657853,0.231049,3
258,0.34174,0.00381292,0.654447,0.65816,0.231049,3
259,0.341445,0.00367589,0.654879,0.658455,0.231049,3
260,0.34116,0.00354354,0.655296,0.65874,0.231049,3
261,0.340886,0.00341575,0.655698,0.659014,0.231049,3
